r0,phi,effort,reputation,A_prime,A_second,attenuation,relocation,soc_denominator,de_dphi
-1.475,0.19999999999999996,0.88205,0.8270748800000001,0.6481406144504402,-2.9306153074028387,-0.06222149898724224,0.6476636046830929,4.164921506714502,0.241033798385765
-1.475,0.20999999999999996,0.8845500000000001,0.82613003096,0.650913263769621,-2.9383584251274883,-0.06889265983737668,0.715641903091025,4.1652212616049855,0.26625554687624375
-1.475,0.21999999999999997,0.8873500000000001,0.8251246777600001,0.6538714803379393,-2.946566065947951,-0.07595371115605502,0.7872708365523714,4.165181659828185,0.29283981837748896
-1.475,0.22999999999999998,0.8904500000000001,0.8240430108800001,0.6570634427223614,-2.955359859293322,-0.08342077468803098,0.8626296475240728,4.164887058004089,0.32081264055595204
-1.475,0.24,0.8938,0.8228295270400001,0.6606556867091204,-2.96517871965919,-0.09132904213066881,0.9418948137193262,4.164758088056313,0.35020225088567714
-1.475,0.24999999999999994,0.8974500000000001,0.8215075000000002,0.6645827727735802,-2.975818323154746,-0.099687415916037,1.0250983646643443,4.1645236812437325,0.38103959680023924
-1.475,0.25999999999999995,0.9014000000000001,0.8200603548800001,0.6688975987291774,-2.9873941505451165,-0.1085219464178217,1.1123579804203105,4.164253278443285,0.4133581038925779
-1.475,0.26999999999999996,0.9057000000000001,0.8185104405200001,0.6735373576680241,-2.999707599750236,-0.11784209609759749,1.2037004278155705,4.163681659278059,0.44719450877429523
-1.475,0.27999999999999997,0.91035,0.8168403174400002,0.6785582491079726,-3.012875193748049,-0.1276775201521561,1.299250226618438,4.162876728763983,0.48258798645943657
-1.475,0.29,0.91535,0.8150321880800001,0.6840187144453442,-3.027008942908057,-0.13806233732364828,1.3991443667327654,4.161898075250626,0.5195803383049122
-1.475,0.3,0.9207500000000001,0.8131068000000001,0.6898612556629687,-3.041915015732437,-0.14901003122320128,1.5034089094242113,4.16048361197031,0.5582176720305166
-1.475,0.30999999999999994,0.9265500000000001,0.8110452541600002,0.6961486088766942,-3.0577041614623495,-0.1605597151513207,1.6121851520509847,4.158688852979206,0.5985479572823778
-1.475,0.31999999999999995,0.9327500000000001,0.8088281984000001,0.7029463452415786,-3.074479325108361,-0.17275609380657034,1.7256241343890084,4.15655728350665,0.6406216228884254
-1.475,0.32999999999999996,0.93935,0.80643580824,0.7103231083537559,-3.0923331705041393,-0.1856500475993376,1.8438842479027098,4.154117696719614,0.6844912211359833
-1.475,0.33999999999999997,0.94645,0.8039246233600001,0.7181117597982426,-3.110785029643955,-0.1992329266384244,1.966840022388667,4.150813885467315,0.730219265684201
-1.475,0.3499999999999999,0.9539500000000001,0.8011963900000001,0.7266256610025048,-3.130482143000819,-0.2136279443347363,2.0949240929402304,4.147236189877022,0.7778560041252267
-1.475,0.35999999999999993,0.9620000000000001,0.7983441024000001,0.7355835854958835,-3.150668075032395,-0.22879591843263952,2.2278403877628787,4.14255373963921,0.8274754461199993
-1.475,0.36999999999999994,0.97055,0.7953063896800001,0.745186463581796,-3.17168770100236,-0.24483846447443486,2.3658629295969287,4.137048031788665,0.8791357203547662
-1.475,0.37999999999999995,0.9796,0.79205963104,0.755519874361144,-3.1935819740847657,-0.26183296765859804,2.509108529897397,4.130690338453683,0.9328987298988712
-1.475,0.38999999999999996,0.9892000000000001,0.7886171311600001,0.7665527766410821,-3.216119048846421,-0.27982242558506054,2.6575138962958413,4.123184540114979,0.988834336599355
-1.475,0.3999999999999999,0.9993500000000001,0.7849532800000002,0.7783788849851028,-3.2393008383377104,-0.2988974918342793,2.8111367249310937,4.1144672354121505,1.0470036528365352
-1.475,0.4099999999999999,1.0,0.7735557850000001,0.8156855160688175,-3.3056451956530726,-0.32908016460280365,2.9987403221770497,4.144923502881438,1.1044352813792766
-1.475,0.41999999999999993,1.0,0.7610774800000002,0.8573304822871961,-3.367035822067289,-0.36295943298110733,3.1874575319523615,4.167874352025041,1.1620571317985495
-1.475,0.42999999999999994,1.0,0.7479905950000001,0.9017380667015579,-3.4168956005400197,-0.4001552844794833,3.3706797177110346,4.1772652695671875,1.21938791127133
